,daily_rainfall_total,highest_30_min_rainfall,highest_60_min_rainfall,highest_120_min_rainfall,mean_temperature,maximum_temperature,minimum_temperature,mean_wind_speed,max_wind_speed,rain_binary
2099,7.6,7.2,7.4,7.6,27.7,29.8,25.2,6.6,32.8,1
2100,87.2,28.2,50.4,80.8,26.8,29.5,23.6,5.7,38.9,1
2101,0,0,0,0,27.4,32.6,25.1,5.2,34.2,0
2102,0,0,0,0,28.5,33.5,25.1,5.8,24.5,0
2103,0,0,0,0,28.8,33.8,26.5,6.3,25.6,0
2104,8,6,8,8,28.3,31.6,26.5,6.3,30.2,1
2105,4.4,3.4,3.6,3.6,28.3,31.4,26.5,6.1,34.2,1
2106,0,0,0,0,29.2,33.1,26.2,6.5,30.2,0
2107,0,0,0,0,29.2,33.8,27.4,6.9,26.6,0
2108,0,0,0,0,29.9,33.4,27.3,9.3,27,0
2109,18,12.2,17.8,17.8,28.9,32.1,25.3,7,36,1
2110,8.8,3.6,4.2,4.4,28,31.1,26,5.9,33.8,1
2111,1.2,1,1,1.2,28.2,33.5,25.2,6.7,36,1
2112,0.4,0.2,0.2,0.2,27,29.7,26,4.3,27,1
2113,13.6,13.2,13.6,13.6,28,31.9,25.8,4.8,28.8,1
2114,8,6.6,7.4,8,28.5,33.9,25.8,6.2,34.9,1
2115,33,26.4,29.8,32.6,27.9,31.7,25.2,4.7,33.8,1
2116,2.2,1.8,2,2,28.6,34,26.2,5.5,29.2,1
2117,38,19.6,21.4,23.2,27.5,31.7,25.4,6,37.1,1
2118,0.4,0.2,0.2,0.4,28.9,33.3,25.7,6.3,26.3,1
2119,0.8,0.8,0.8,0.8,28.8,32.7,27.1,5.6,30.6,1
2120,5,1.6,2.6,4,26.8,28.3,25.2,6.1,30.6,1
2121,0,0,0,0,28.9,33.4,26.3,5.8,23.4,0
2122,18.4,11.8,17.4,18.4,27.9,31.7,25.9,5,23,1
2123,5.8,5.4,5.4,5.4,27.8,32.9,24.9,6.6,28.8,1
2124,0,0,0,0,28.2,32.6,24.9,6,30.2,0
2125,0,0,0,0,28.9,32.4,26.1,5.5,20.9,0
2126,0.4,0.4,0.4,0.4,29.8,33.4,27,6.8,31,1
2127,0,0,0,0,30,34.3,27.2,8.8,34.9,0
2128,0,0,0,0,29.1,33.1,26.1,5.5,32.8,0
2129,0,0,0,0,28.9,34.2,26,5.6,22.3,0
2130,5.2,5.2,5.2,5.2,28.6,35.1,25.4,8.2,36.7,1
2131,0,0,0,0,28.8,33.1,25,6.4,21.6,0
2132,0.6,0.6,0.6,0.6,28.8,33.5,26.4,6.6,24.5,1
2133,0,0,0,0,28.4,34.8,25.8,4.8,28.4,0
2134,6.6,4.8,6.6,6.6,27.5,32.3,25.1,5.2,37.8,1
2135,2.8,1,1.8,2.4,27.7,30.8,25.7,4.3,19.1,1
2136,0,0,0,0,28.3,31,26.1,5.3,28.4,0
2137,0,0,0,0,27.5,29.8,25.8,8.3,31.7,0
2138,0.2,0.2,0.2,0.2,29,32.4,26.8,6,23.4,1
2139,5.4,5.4,5.4,5.4,27.9,32.6,25.3,5.5,40,1
2140,11.8,7.2,8.6,9,26.4,28.7,24.4,5.1,47.2,1
2141,0,0,0,0,28,31.7,25.8,6.2,20.5,0
2142,10.4,6.8,8.2,10.2,26.3,28.1,24.2,8.2,42.8,1
2143,0,0,0,0,27.9,31.1,25.7,4.7,28.4,0
2144,13.4,11.6,12.4,12.4,26.9,29.7,23.4,4.9,40,1
2145,5.6,4.2,4.2,5.6,27.5,30.7,25.2,5.2,32,1
2146,0,0,0,0,29.2,32.9,26.6,6.2,22.7,0
2147,0,0,0,0,29.2,32,27.1,6.9,28.4,0
2148,0,0,0,0,29.7,33.2,27.3,6.9,27,0
2149,0,0,0,0,30,33.8,27.9,6.9,27.4,0
2150,0,0,0,0,30.1,33.5,27.7,7,25.2,0
2151,0,0,0,0,29.9,33.3,27.9,7.4,30.2,0
2152,0,0,0,0,29.8,32.9,27.6,7.6,32.4,0
2153,0,0,0,0,29.7,32.6,27.6,7.4,26.3,0
2154,0,0,0,0,29.7,33.1,27.6,8.1,26.3,0
2155,0,0,0,0,29.9,33.4,27.3,7.5,25.2,0
2156,0,0,0,0,29.9,33.2,27.8,7.7,29.5,0
2157,0,0,0,0,30,33.8,27.2,6.3,25.9,0
2158,0,0,0,0,30.1,34,26.8,6.4,23.8,0
2159,0.2,0.2,0.2,0.2,28.2,30,24.1,6,43.2,1
2160,4,4,4,4,28.9,32.2,26.7,5.8,31,1
