,daily_rainfall_total,highest_30_min_rainfall,highest_60_min_rainfall,highest_120_min_rainfall,mean_temperature,maximum_temperature,minimum_temperature,mean_wind_speed,max_wind_speed
160,8.8,7.4,8.6,8.6,26.2,30.9,24.6,5,40.7
161,10.8,7.6,10.6,10.6,26.9,32.9,24.4,5.8,33.5
162,4.6,4.2,4.6,4.6,27.2,32,25.2,6.5,33.5
163,32.2,12.8,18.4,24.6,25,26.5,23.3,6.8,41.8
164,1.4,1.4,1.4,1.4,27,32,24.2,7.6,37.1
165,0.4,0.4,0.4,0.4,26.8,29.9,23.9,6.5,49.7
166,0.2,0.2,0.2,0.2,na,32.9,25.2,6.1,22.7
167,15.4,6.2,8.6,9,26.9,33.3,24.3,5.8,32
168,0.4,0.2,0.2,0.2,27.6,31.6,25.3,5.4,21.6
169,0,0,0,0,na,31.9,25.7,5.8,26.3
170,1.6,1.6,1.6,1.6,27.8,30.6,25.5,9,31.3
171,1,1,1,1,27.6,29.1,25.3,5,29.9
172,6.2,4.4,5.4,6,na,31.2,24.5,6.1,33.1
173,0,0,0,0,27.4,32.7,25.3,7.2,34.9
174,8.6,4.4,6.6,8.2,27.5,33.6,24.8,6.1,36.4
175,1.4,0.6,1,1.2,27.2,31.2,25.5,5.4,28.4
176,0.2,0.2,0.2,0.2,27.1,29.7,24.6,9.7,32.4
177,0,0,0,0,27.3,29.6,25.7,9.7,33.5
178,0.2,0.2,0.2,0.2,26,27.7,24.6,9,32.4
179,0,0,0,0,27.7,30.9,24.6,10.8,35.3
180,13.2,3.4,4.8,7.2,25.4,27.3,24.4,7.9,24.5
181,0.8,0.6,0.6,0.8,27,31.3,24.3,8.6,32
182,0,0,0,0,na,29.9,25.8,5.4,21.2
183,0,0,0,0,29.2,34.1,25.7,6.8,25.9
184,10.2,7.8,8.4,10.2,28.7,33.7,23.3,8.6,27.7
185,0.2,0.2,0.2,0.2,28.4,34.2,23.6,6.8,33.8
186,1.4,1.4,1.4,1.4,28.1,32.7,26.3,9,28.8
187,1.4,1.4,1.4,1.4,28.3,32,25.8,8.3,27.7
188,6.4,3.4,5.8,6.2,26.8,30.5,25.2,7.2,38.9
189,10.6,10.2,10.4,10.4,27.2,29.8,24.3,7.9,32.8
190,2.6,1.4,1.4,1.4,25.5,29,23.6,9.4,44.6
191,0,0,0,0,27.9,30.9,25.1,12.6,40.7
192,1.2,1.2,1.2,1.2,27.6,31.4,24.3,9,37.4
193,0.2,0.2,0.2,0.2,27.9,32.3,25.2,7.6,33.8
194,0,0,0,0,28.5,31.9,26.1,8.3,33.5
195,0,0,0,0,28.6,32.8,26.1,8.6,29.5
196,1.8,1.6,1.6,1.6,26.8,31.8,24.6,9,36.7
